2/1/2023 13:58 | \errorHandler.js(37) | kHeRsQZRRsso3DhvXqo8YlrKWqnXkzyD | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","password":"prasanna@123"} | Error : {"message":"SequelizeDatabaseError: Table 'cube_84.auth' doesn't exist","stack":"Error: SequelizeDatabaseError: Table 'cube_84.auth' doesn't exist\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 14:27 | \errorHandler.js(37) | ZvTPK21oRTQ4cu8ZImmuQDvCIzXfOHQQ | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","password":"prasanna@123"} | Error : {"message":"SequelizeDatabaseError: Unknown column 'id' in 'field list'","stack":"Error: SequelizeDatabaseError: Unknown column 'id' in 'field list'\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 14:29 | \errorHandler.js(37) | 6Rck7cqTU5IV0ua5FherFArnaeKk9hLF | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","password":"prasanna@123"} | Error : {"message":"SequelizeDatabaseError: Unknown column 'id' in 'field list'","stack":"Error: SequelizeDatabaseError: Unknown column 'id' in 'field list'\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 14:30 | \errorHandler.js(37) | UshnFfMaRJCHOP3Z4m0FZXtATdvqNhf8 | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","password":"prasanna@123"} | Error : {"message":"SequelizeDatabaseError: Unknown column 'createdAt' in 'field list'","stack":"Error: SequelizeDatabaseError: Unknown column 'createdAt' in 'field list'\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 14:31 | \errorHandler.js(37) | 4wIJJbsHXkegXpU4KLyvAK5nE6n31azH | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","password":"prasanna@123"} | Error : {"message":"SequelizeDatabaseError: Table 'cube_84.auths' doesn't exist","stack":"Error: SequelizeDatabaseError: Table 'cube_84.auths' doesn't exist\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 14:38 | \errorHandler.js(37) | 6ifD6Ya0qu7rxJd1Xko1ix4VG0xlp9JM | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","password":"prasanna@123"} | Error : {"message":"SequelizeDatabaseError: Table 'cube_84.auths' doesn't exist","stack":"Error: SequelizeDatabaseError: Table 'cube_84.auths' doesn't exist\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 15:01 | \errorHandler.js(37) | CQDfwFtVeSZqgLJUUOpkiyoGQ2zRaVbg | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","password":"prasanna@123"} | Error : {"message":"SequelizeDatabaseError: Table 'cube_84.auths' doesn't exist","stack":"Error: SequelizeDatabaseError: Table 'cube_84.auths' doesn't exist\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 15:02 | \errorHandler.js(37) | rzfEPS029zYWBbVoh6t35mXr8gURnwJC | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","password":"prasanna@123"} | Error : {"message":"SequelizeDatabaseError: Unknown column 'createdAt' in 'field list'","stack":"Error: SequelizeDatabaseError: Unknown column 'createdAt' in 'field list'\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 15:03 | \errorHandler.js(37) | sK3UlQ3Yxc0U18T2MHBkBokaL8BomHLo | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","password":"prasanna@123"} | Error : {"message":"SequelizeDatabaseError: Unknown column 'createdAt' in 'field list'","stack":"Error: SequelizeDatabaseError: Unknown column 'createdAt' in 'field list'\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 15:03 | \errorHandler.js(37) | wzCcURMbRJCBtWVFzxBC7Qv634xhxPbM | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","password":"prasanna@123"} | Error : {"message":"SequelizeDatabaseError: Unknown column 'createdAt' in 'field list'","stack":"Error: SequelizeDatabaseError: Unknown column 'createdAt' in 'field list'\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 15:09 | \errorHandler.js(37) | 4LbbmAiQEMSLEtL3rKIVKWaj9z42emUl | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","password":"prasanna@123"} | Error : {"message":"SequelizeDatabaseError: Table 'cube_84.authsses' doesn't exist","stack":"Error: SequelizeDatabaseError: Table 'cube_84.authsses' doesn't exist\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 15:09 | \errorHandler.js(37) | V8Sm5O57dzjsP6wKgwTPm6qBWQVubZEK | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","password":"prasanna@123"} | Error : {"message":"SequelizeDatabaseError: Table 'cube_84.authsses' doesn't exist","stack":"Error: SequelizeDatabaseError: Table 'cube_84.authsses' doesn't exist\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 15:27 | \errorHandler.js(37) | LshReJD6O9eBvCGazLl2hYykujtiPGiE | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","password":"prasanna@123"} | Error : {"message":"SequelizeDatabaseError: Incorrect integer value: 'prasanna' for column 'userName' at row 1","stack":"Error: SequelizeDatabaseError: Incorrect integer value: 'prasanna' for column 'userName' at row 1\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 15:27 | \errorHandler.js(37) | Cpp6ttEsIaIxA311vsgpbQImykjyp4PD | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","password":"prasanna@123"} | Error : {"message":"SequelizeDatabaseError: Incorrect integer value: 'prasanna' for column 'userName' at row 1","stack":"Error: SequelizeDatabaseError: Incorrect integer value: 'prasanna' for column 'userName' at row 1\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 15:28 | \errorHandler.js(37) | J195Ky01IcnnYjX1vexNtFF2ihcIKsTV | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","password":"prasanna@123"} | Error : {"message":"SequelizeDatabaseError: Unknown column 'id' in 'field list'","stack":"Error: SequelizeDatabaseError: Unknown column 'id' in 'field list'\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 15:28 | \errorHandler.js(37) | NWPAkqCh8Sevv54YYAAv7xvfOVbjScjD | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","password":"prasanna@123"} | Error : {"message":"SequelizeDatabaseError: Unknown column 'id' in 'field list'","stack":"Error: SequelizeDatabaseError: Unknown column 'id' in 'field list'\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 15:28 | \errorHandler.js(37) | pgXDC8OeCGpY9jNecMoBUuW3jF1H86zL | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","password":"prasanna@123"} | Error : {"message":"SequelizeDatabaseError: Unknown column 'createdAt' in 'field list'","stack":"Error: SequelizeDatabaseError: Unknown column 'createdAt' in 'field list'\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 15:28 | \errorHandler.js(37) | t3776RW2fP4CN4cwdctxGjOup5RYL3C8 | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","password":"prasanna@123"} | Error : {"message":"SequelizeDatabaseError: Incorrect integer value: 'prasanna' for column 'userName' at row 1","stack":"Error: SequelizeDatabaseError: Incorrect integer value: 'prasanna' for column 'userName' at row 1\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 15:29 | \errorHandler.js(37) | NFo0lqdJcthzyfJU27ABZkkSDxSrTwFm | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","password":"prasanna@123"} | Error : {"message":"SequelizeDatabaseError: Incorrect integer value: 'prasanna' for column 'userName' at row 1","stack":"Error: SequelizeDatabaseError: Incorrect integer value: 'prasanna' for column 'userName' at row 1\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 15:30 | \errorHandler.js(37) | CjpoBSlUS5ovLJ8rlhnoMSjrEN3m5ikV | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","password":"prasanna@123"} | Error : {"message":"SequelizeDatabaseError: Unknown column 'id' in 'field list'","stack":"Error: SequelizeDatabaseError: Unknown column 'id' in 'field list'\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 15:30 | \errorHandler.js(37) | cX5YKe96DQDsp5KcLdRASrte3awvzFln | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"user_email":"prasanna","password":"prasanna@123"} | Error : {"message":"SequelizeDatabaseError: Unknown column 'id' in 'field list'","stack":"Error: SequelizeDatabaseError: Unknown column 'id' in 'field list'\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 15:32 | \errorHandler.js(37) | ntA0MdoAk7mQr2ljEIUu9MD8cBK4nv46 | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"user_email":"prasanna","password":"prasanna@123"} | Error : {"message":"SequelizeDatabaseError: Unknown column 'id' in 'field list'","stack":"Error: SequelizeDatabaseError: Unknown column 'id' in 'field list'\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 15:34 | \errorHandler.js(37) | kqvrTyG2M5FwmzMj1E93AueqYChMfAkD | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"user_email":"prasanna","password":"prasanna@123"} | Error : {"message":"SequelizeDatabaseError: Unknown column 'id' in 'field list'","stack":"Error: SequelizeDatabaseError: Unknown column 'id' in 'field list'\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 15:35 | \errorHandler.js(37) | UQnWuPcKDDHcXaCw6kcTuILBiloUjbJX | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"major":"123","minor":"123123"} | Error : {"message":"SequelizeValidationError: notNull Violation: appVersion.patch cannot be null,\nnotNull Violation: appVersion.version cannot be null,\nnotNull Violation: appVersion.updateStatus cannot be null,\nnotNull Violation: appVersion.versionType cannot be null,\nnotNull Violation: appVersion.message cannot be null","stack":"Error: SequelizeValidationError: notNull Violation: appVersion.patch cannot be null,\nnotNull Violation: appVersion.version cannot be null,\nnotNull Violation: appVersion.updateStatus cannot be null,\nnotNull Violation: appVersion.versionType cannot be null,\nnotNull Violation: appVersion.message cannot be null\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 15:36 | \errorHandler.js(37) | H7b0E0qDrf22QsFRqy7hCVlaO0M1yhJ0 | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"major":"123","minor":"123123"} | Error : {"message":"SequelizeDatabaseError: Table 'cube_84.appversion' doesn't exist","stack":"Error: SequelizeDatabaseError: Table 'cube_84.appversion' doesn't exist\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:20:15)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 15:47 | \errorHandler.js(37) | Q9wcFBct39L4VjxbIeVy7HYp6zxx4hzY | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","email":"prasanna@gmail.com","password":"prasanna@123","mobileNumber":"9691938989","role":["admin"]} | Error : {"message":"SequelizeValidationError: notNull Violation: user_auth.userName cannot be null","stack":"Error: SequelizeValidationError: notNull Violation: user_auth.userName cannot be null\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:33:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 15:48 | \errorHandler.js(37) | TYwx5ChLu2CxvLa3EuYYehI6xEkJUXQR | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","email":"prasanna@gmail.com","password":"prasanna@123","mobileNumber":"9691938989","role":["admin"]} | Error : {"message":"SequelizeValidationError: notNull Violation: user_auth.userName cannot be null","stack":"Error: SequelizeValidationError: notNull Violation: user_auth.userName cannot be null\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:33:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 15:48 | \errorHandler.js(37) | gfBKPQWfvy2IWGNzPdwv6VQFdoGosDNT | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","email":"prasanna@gmail.com","password":"prasanna@123","mobileNumber":"9691938989","role":["admin"]} | Error : {"message":"SequelizeDatabaseError: Unknown column 'userName' in 'field list'","stack":"Error: SequelizeDatabaseError: Unknown column 'userName' in 'field list'\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:33:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 15:49 | \errorHandler.js(37) | vHZ3M9XiWHIqOXUtUqMfbkD3pYOlv9k2 | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"prasanna","email":"prasanna@gmail.com","password":"prasanna@123","mobileNumber":"9691938989","role":["admin"]} | Error : {"message":"SequelizeDatabaseError: Unknown column 'userName' in 'field list'","stack":"Error: SequelizeDatabaseError: Unknown column 'userName' in 'field list'\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:33:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:28:17)"}
2/1/2023 17:37 | \errorHandler.js(37) | mPKK28nmoXVCNKJZHqikGM5EyjZzYVUK | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/user/auth/register | POST | Request : {"userName":"pras","email":"pras@gmail.com","password":"pras@123","mobileNumber":"9691938988","role":2} | Error : {"message":"SequelizeDatabaseError: Unknown column 'role' in 'field list'","stack":"Error: SequelizeDatabaseError: Unknown column 'role' in 'field list'\n    at AuthService.register (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\auth.service.js:36:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async AuthController.registerUser (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\auth.controller.js:33:16)"}
